subject,variable,likert,task,modal,wh,answer,story
A17K1CHOI773VZ,answer,3.0,likely,nomod,how,MO,holywood
A2YOVBJ9EXAI8W,answer,3.0,likely,nomod,how,MO,holywood
A2GB0RI43KU4Z,answer,4.0,likely,nomod,how,MO,holywood
A3RS7UCO7CQ74R,answer,0.0,likely,nomod,how,MO,holywood
A1GKD3NG1NNHRP,answer,4.0,likely,nomod,how,MO,holywood
A2RMJNF6IPI42F,answer,2.0,likely,nomod,how,MO,holywood
A3VP02KDUZIV0V,answer,2.0,likely,nomod,how,MO,holywood
A9WIOFVRSYW3L,answer,3.0,likely,nomod,how,MO,holywood
A3TCFIPOBRZZB3,answer,5.0,likely,nomod,how,MO,holywood
A2GOYSTIL3LOV1,answer,4.0,likely,nomod,how,MO,holywood
AY5OS6NZWVX22,answer,2.0,likely,nomod,how,MO,holywood
A32U64W0S9PUA3,answer,4.0,likely,nomod,how,MO,holywood
A2VFEDAK5C1E1O,answer,2.0,likely,nomod,who,MO,intern
A29AKJXQ248KNK,answer,4.0,likely,nomod,who,MO,intern
A29TQSAJPLXZU7,answer,3.0,likely,nomod,who,MO,intern
A3QVZ4SZB79D8W,answer,4.0,likely,nomod,who,MO,intern
A17D6BK59S31BM,answer,3.0,likely,nomod,who,MO,intern
A3EHDY67QENKPT,answer,1.0,likely,nomod,who,MO,intern
A1LE6AUI3CJNIT,answer,0.0,likely,nomod,who,MO,intern
A17K1CHOI773VZ,answer,3.0,likely,nomod,who,MO,intern
A2YOVBJ9EXAI8W,answer,2.0,likely,nomod,who,MO,intern
A2GB0RI43KU4Z,answer,3.0,likely,nomod,who,MO,intern
A3RS7UCO7CQ74R,answer,4.0,likely,nomod,who,MO,intern
A1GKD3NG1NNHRP,answer,4.0,likely,nomod,who,MO,intern
A2RMJNF6IPI42F,answer,3.0,likely,nomod,who,MO,intern
A3VP02KDUZIV0V,answer,2.0,likely,nomod,who,MO,intern
A9WIOFVRSYW3L,answer,3.0,likely,nomod,who,MO,intern
A3TCFIPOBRZZB3,answer,4.0,likely,nomod,who,MO,intern
A2GOYSTIL3LOV1,answer,2.0,likely,nomod,who,MO,intern
AY5OS6NZWVX22,answer,3.0,likely,nomod,who,MO,intern
A32U64W0S9PUA3,answer,5.0,likely,nomod,who,MO,intern
A2VFEDAK5C1E1O,answer,2.0,likely,nomod,where,MO,lights
A29AKJXQ248KNK,answer,4.0,likely,nomod,where,MO,lights
A29TQSAJPLXZU7,answer,2.0,likely,nomod,where,MO,lights
A3QVZ4SZB79D8W,answer,3.0,likely,nomod,where,MO,lights
A17D6BK59S31BM,answer,4.0,likely,nomod,where,MO,lights
A3EHDY67QENKPT,answer,3.0,likely,nomod,where,MO,lights
A1LE6AUI3CJNIT,answer,0.0,likely,nomod,where,MO,lights
A17K1CHOI773VZ,answer,3.0,likely,nomod,where,MO,lights
A2YOVBJ9EXAI8W,answer,2.0,likely,nomod,where,MO,lights
A2GB0RI43KU4Z,answer,3.0,likely,nomod,where,MO,lights
A3RS7UCO7CQ74R,answer,3.0,likely,nomod,where,MO,lights
A1GKD3NG1NNHRP,answer,3.0,likely,nomod,where,MO,lights
A2RMJNF6IPI42F,answer,4.0,likely,nomod,where,MO,lights
A3VP02KDUZIV0V,answer,3.0,likely,nomod,where,MO,lights
A9WIOFVRSYW3L,answer,4.0,likely,nomod,where,MO,lights
A3TCFIPOBRZZB3,answer,4.0,likely,nomod,where,MO,lights
A2GOYSTIL3LOV1,answer,3.0,likely,nomod,where,MO,lights
AY5OS6NZWVX22,answer,1.0,likely,nomod,where,MO,lights
A32U64W0S9PUA3,answer,5.0,likely,nomod,where,MO,lights
A2RCYLKY072XXO,answer,4.0,likely,nomod,how,MS,political
AFZKP8TAXAUCR,answer,4.0,likely,nomod,how,MS,political
A160AAFKYN9TUD,answer,4.0,likely,nomod,how,MS,political
A1ZD8RU6YB0VEU,answer,4.0,likely,nomod,how,MS,political
A15ZLQU8M9MMXS,answer,3.0,likely,nomod,how,MS,political
A1U8HCXVACOGJ8,answer,5.0,likely,nomod,how,MS,political
A2WHC086WNUQNB,answer,5.0,likely,nomod,how,MS,political
A3NVRTN7RC8D0I,answer,4.0,likely,nomod,how,MS,political
A2JCK494NV7TFX,answer,4.0,likely,nomod,how,MS,political
A1WJU1IQ3UTRC6,answer,4.0,likely,nomod,how,MS,political
A1W7QLLENVP2AE,answer,3.0,likely,nomod,how,MS,political
A7XAEZTNECKT5,answer,4.0,likely,nomod,how,MS,political
A2R72PEQOZAINO,answer,3.0,likely,nomod,how,MS,political
A2MDVIWMWCPOSO,answer,2.0,likely,nomod,how,MS,political
A2PUL3ZDXOW0VZ,answer,3.0,likely,nomod,how,MS,political
A30VLAIIJIG5IS,answer,4.0,likely,nomod,how,MS,political
A3VTOW7WLPTBRR,answer,3.0,likely,nomod,how,MS,political
A2FYPO3PEYCLX2,answer,3.0,likely,nomod,how,MS,political
A2BZY06YRWGEDL,answer,5.0,likely,nomod,how,MS,political
A2RCYLKY072XXO,answer,5.0,likely,nomod,where,MS,fido
AFZKP8TAXAUCR,answer,5.0,likely,nomod,where,MS,fido
A160AAFKYN9TUD,answer,3.0,likely,nomod,where,MS,fido
A1ZD8RU6YB0VEU,answer,2.0,likely,nomod,where,MS,fido
A15ZLQU8M9MMXS,answer,2.0,likely,nomod,where,MS,fido
A1U8HCXVACOGJ8,answer,5.0,likely,nomod,where,MS,fido
A2WHC086WNUQNB,answer,5.0,likely,nomod,where,MS,fido
A3NVRTN7RC8D0I,answer,4.0,likely,nomod,where,MS,fido
A2JCK494NV7TFX,answer,4.0,likely,nomod,where,MS,fido
A1WJU1IQ3UTRC6,answer,3.0,likely,nomod,where,MS,fido
A1W7QLLENVP2AE,answer,1.0,likely,nomod,where,MS,fido
A7XAEZTNECKT5,answer,4.0,likely,nomod,where,MS,fido
A2R72PEQOZAINO,answer,4.0,likely,nomod,where,MS,fido
A2MDVIWMWCPOSO,answer,3.0,likely,nomod,where,MS,fido
A2PUL3ZDXOW0VZ,answer,4.0,likely,nomod,where,MS,fido
A30VLAIIJIG5IS,answer,5.0,likely,nomod,where,MS,fido
A3VTOW7WLPTBRR,answer,5.0,likely,nomod,where,MS,fido
A2FYPO3PEYCLX2,answer,3.0,likely,nomod,where,MS,fido
A2BZY06YRWGEDL,answer,3.0,likely,nomod,where,MS,fido
A2RCYLKY072XXO,answer,5.0,likely,nomod,who,MS,vacation
AFZKP8TAXAUCR,answer,3.0,likely,nomod,who,MS,vacation
A160AAFKYN9TUD,answer,3.0,likely,nomod,who,MS,vacation
A1ZD8RU6YB0VEU,answer,3.0,likely,nomod,who,MS,vacation
A15ZLQU8M9MMXS,answer,3.0,likely,nomod,who,MS,vacation
A1U8HCXVACOGJ8,answer,5.0,likely,nomod,who,MS,vacation
A2WHC086WNUQNB,answer,5.0,likely,nomod,who,MS,vacation
A3NVRTN7RC8D0I,answer,4.0,likely,nomod,who,MS,vacation
A2JCK494NV7TFX,answer,3.0,likely,nomod,who,MS,vacation
A1WJU1IQ3UTRC6,answer,5.0,likely,nomod,who,MS,vacation
A1W7QLLENVP2AE,answer,5.0,likely,nomod,who,MS,vacation
A7XAEZTNECKT5,answer,5.0,likely,nomod,who,MS,vacation
A2R72PEQOZAINO,answer,5.0,likely,nomod,who,MS,vacation
A2MDVIWMWCPOSO,answer,2.0,likely,nomod,who,MS,vacation
A2PUL3ZDXOW0VZ,answer,1.0,likely,nomod,who,MS,vacation
A30VLAIIJIG5IS,answer,1.0,likely,nomod,who,MS,vacation
A3VTOW7WLPTBRR,answer,1.0,likely,nomod,who,MS,vacation
A2FYPO3PEYCLX2,answer,3.0,likely,nomod,who,MS,vacation
A2BZY06YRWGEDL,answer,4.0,likely,nomod,who,MS,vacation
A2RCYLKY072XXO,answer,3.0,likely,nomod,how,MS,petra
AFZKP8TAXAUCR,answer,3.0,likely,nomod,how,MS,petra
A160AAFKYN9TUD,answer,2.0,likely,nomod,how,MS,petra
A1ZD8RU6YB0VEU,answer,2.0,likely,nomod,how,MS,petra
A15ZLQU8M9MMXS,answer,3.0,likely,nomod,how,MS,petra
A1U8HCXVACOGJ8,answer,5.0,likely,nomod,how,MS,petra
A2WHC086WNUQNB,answer,5.0,likely,nomod,how,MS,petra
A3NVRTN7RC8D0I,answer,4.0,likely,nomod,how,MS,petra
A2JCK494NV7TFX,answer,1.0,likely,nomod,how,MS,petra
A1WJU1IQ3UTRC6,answer,3.0,likely,nomod,how,MS,petra
A1W7QLLENVP2AE,answer,0.0,likely,nomod,how,MS,petra
A7XAEZTNECKT5,answer,5.0,likely,nomod,how,MS,petra
A2R72PEQOZAINO,answer,0.0,likely,nomod,how,MS,petra
A2MDVIWMWCPOSO,answer,3.0,likely,nomod,how,MS,petra
A2PUL3ZDXOW0VZ,answer,3.0,likely,nomod,how,MS,petra
A30VLAIIJIG5IS,answer,2.0,likely,nomod,how,MS,petra
A3VTOW7WLPTBRR,answer,3.0,likely,nomod,how,MS,petra
A2FYPO3PEYCLX2,answer,3.0,likely,nomod,how,MS,petra
A2BZY06YRWGEDL,answer,2.0,likely,nomod,how,MS,petra
A2RCYLKY072XXO,answer,5.0,likely,nomod,where,MS,chocolate
AFZKP8TAXAUCR,answer,0.0,likely,nomod,where,MS,chocolate
A160AAFKYN9TUD,answer,3.0,likely,nomod,where,MS,chocolate
A1ZD8RU6YB0VEU,answer,2.0,likely,nomod,where,MS,chocolate
A15ZLQU8M9MMXS,answer,3.0,likely,nomod,where,MS,chocolate
A1U8HCXVACOGJ8,answer,5.0,likely,nomod,where,MS,chocolate
A2WHC086WNUQNB,answer,5.0,likely,nomod,where,MS,chocolate
A3NVRTN7RC8D0I,answer,4.0,likely,nomod,where,MS,chocolate
A2JCK494NV7TFX,answer,4.0,likely,nomod,where,MS,chocolate
A1WJU1IQ3UTRC6,answer,2.0,likely,nomod,where,MS,chocolate
A1W7QLLENVP2AE,answer,1.0,likely,nomod,where,MS,chocolate
A7XAEZTNECKT5,answer,5.0,likely,nomod,where,MS,chocolate
A2R72PEQOZAINO,answer,4.0,likely,nomod,where,MS,chocolate
A2MDVIWMWCPOSO,answer,2.0,likely,nomod,where,MS,chocolate
A2PUL3ZDXOW0VZ,answer,4.0,likely,nomod,where,MS,chocolate
A30VLAIIJIG5IS,answer,2.0,likely,nomod,where,MS,chocolate
A3VTOW7WLPTBRR,answer,3.0,likely,nomod,where,MS,chocolate
A2FYPO3PEYCLX2,answer,2.0,likely,nomod,where,MS,chocolate
A2BZY06YRWGEDL,answer,4.0,likely,nomod,where,MS,chocolate
A2RCYLKY072XXO,answer,3.0,likely,nomod,who,MS,office
AFZKP8TAXAUCR,answer,2.0,likely,nomod,who,MS,office
A160AAFKYN9TUD,answer,3.0,likely,nomod,who,MS,office
A1ZD8RU6YB0VEU,answer,2.0,likely,nomod,who,MS,office
A15ZLQU8M9MMXS,answer,3.0,likely,nomod,who,MS,office
A1U8HCXVACOGJ8,answer,5.0,likely,nomod,who,MS,office
A2WHC086WNUQNB,answer,5.0,likely,nomod,who,MS,office
A3NVRTN7RC8D0I,answer,5.0,likely,nomod,who,MS,office
A2JCK494NV7TFX,answer,3.0,likely,nomod,who,MS,office
A1WJU1IQ3UTRC6,answer,4.0,likely,nomod,who,MS,office
A1W7QLLENVP2AE,answer,4.0,likely,nomod,who,MS,office
A7XAEZTNECKT5,answer,4.0,likely,nomod,who,MS,office
A2R72PEQOZAINO,answer,5.0,likely,nomod,who,MS,office
A2MDVIWMWCPOSO,answer,3.0,likely,nomod,who,MS,office
A2PUL3ZDXOW0VZ,answer,2.0,likely,nomod,who,MS,office
A30VLAIIJIG5IS,answer,1.0,likely,nomod,who,MS,office
A3VTOW7WLPTBRR,answer,2.0,likely,nomod,who,MS,office
A2FYPO3PEYCLX2,answer,3.0,likely,nomod,who,MS,office
A2BZY06YRWGEDL,answer,3.0,likely,nomod,who,MS,office
A2RCYLKY072XXO,answer,3.0,likely,nomod,how,MS,college
AFZKP8TAXAUCR,answer,4.0,likely,nomod,how,MS,college
A160AAFKYN9TUD,answer,3.0,likely,nomod,how,MS,college
A1ZD8RU6YB0VEU,answer,3.0,likely,nomod,how,MS,college
A15ZLQU8M9MMXS,answer,2.0,likely,nomod,how,MS,college
A1U8HCXVACOGJ8,answer,5.0,likely,nomod,how,MS,college
A2WHC086WNUQNB,answer,5.0,likely,nomod,how,MS,college
A3NVRTN7RC8D0I,answer,4.0,likely,nomod,how,MS,college
A2JCK494NV7TFX,answer,4.0,likely,nomod,how,MS,college
A1WJU1IQ3UTRC6,answer,3.0,likely,nomod,how,MS,college
A1W7QLLENVP2AE,answer,1.0,likely,nomod,how,MS,college
A7XAEZTNECKT5,answer,5.0,likely,nomod,how,MS,college
A2R72PEQOZAINO,answer,2.0,likely,nomod,how,MS,college
A2MDVIWMWCPOSO,answer,3.0,likely,nomod,how,MS,college
A2PUL3ZDXOW0VZ,answer,4.0,likely,nomod,how,MS,college
A30VLAIIJIG5IS,answer,2.0,likely,nomod,how,MS,college
A3VTOW7WLPTBRR,answer,2.0,likely,nomod,how,MS,college
A2FYPO3PEYCLX2,answer,3.0,likely,nomod,how,MS,college
A2BZY06YRWGEDL,answer,4.0,likely,nomod,how,MS,college
A2RCYLKY072XXO,answer,4.0,likely,nomod,where,MS,hideseek
AFZKP8TAXAUCR,answer,3.0,likely,nomod,where,MS,hideseek
A160AAFKYN9TUD,answer,4.0,likely,nomod,where,MS,hideseek
A1ZD8RU6YB0VEU,answer,2.0,likely,nomod,where,MS,hideseek
A15ZLQU8M9MMXS,answer,4.0,likely,nomod,where,MS,hideseek
A1U8HCXVACOGJ8,answer,5.0,likely,nomod,where,MS,hideseek
A2WHC086WNUQNB,answer,5.0,likely,nomod,where,MS,hideseek
A3NVRTN7RC8D0I,answer,4.0,likely,nomod,where,MS,hideseek
A2JCK494NV7TFX,answer,4.0,likely,nomod,where,MS,hideseek
A1WJU1IQ3UTRC6,answer,3.0,likely,nomod,where,MS,hideseek
A1W7QLLENVP2AE,answer,2.0,likely,nomod,where,MS,hideseek
A7XAEZTNECKT5,answer,4.0,likely,nomod,where,MS,hideseek
A2R72PEQOZAINO,answer,5.0,likely,nomod,where,MS,hideseek
A2MDVIWMWCPOSO,answer,2.0,likely,nomod,where,MS,hideseek
A2PUL3ZDXOW0VZ,answer,4.0,likely,nomod,where,MS,hideseek
A30VLAIIJIG5IS,answer,4.0,likely,nomod,where,MS,hideseek
A3VTOW7WLPTBRR,answer,5.0,likely,nomod,where,MS,hideseek
A2FYPO3PEYCLX2,answer,3.0,likely,nomod,where,MS,hideseek
A2BZY06YRWGEDL,answer,4.0,likely,nomod,where,MS,hideseek
A2RCYLKY072XXO,answer,4.0,likely,nomod,who,MS,customer
AFZKP8TAXAUCR,answer,4.0,likely,nomod,who,MS,customer
